id,title,year,km,fuel,transmission,engine,price,url,photo_url
21344466,Citroën Berlingo Shine BlueHDi 100PS SLO 1.LASTNIK LED 12M-JAMSTVO,2016,144000 km,diesel motor,ročni menjalnik,"1560 ccm, 73 kW / 99 KM",,https://www.avto.net/Ads/details.asp?id=21344466,
22512908,Citroën Berlingo 1.6 HDI SHINE|SLO|VELIK SER.|NA OBROKE v 5 MIN.,2015,155000 km,diesel motor,ročni menjalnik,"1560 ccm, 68 kW / 92 KM",,https://www.avto.net/Ads/details.asp?id=22512908,
22578298,Renault Espace 1.6 DCI AUT.,2017,197830 km,diesel motor,avtomatski menjalnik,"1560 ccm, 118 kW / 160 KM",9.990 €,https://www.avto.net/Ads/details.asp?id=22578298,https://images.avto.net/photo/22578298/1051515_160.jpg
22578263,Mitsubishi ASX 4WD 1.8 DI-D-4X4-165.000KM-PANORAMA-PDC-TEMPOMAT..,2011,165000 km,diesel motor,ročni menjalnik,"1798 ccm, 110 kW / 150 KM",5.990 €,https://www.avto.net/Ads/details.asp?id=22578263,https://images.avto.net/photo/22578263/1051069_160.jpg
22578118,Citroën C4 Cactus 1.5 HDi SAMO 119.015km NA KREDIT BREZ POLOGA...,2020,110090 km,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",6.499 €,https://www.avto.net/Ads/details.asp?id=22578118,https://images.avto.net/photo/22578118/1049465_160.jpg
22578070,Volkswagen Golf 1.6TDI Highline-LED-NAVI-PDC-MASAŽNI SEDEŽI-GRETJE,2017,189000 km,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",8.950 €,https://www.avto.net/Ads/details.asp?id=22578070,https://images.avto.net/photo/22578070/1049352_160.jpg
22578060,BMW serija 2 Active Tourer: serija 2  216d Active Tourer. Navy. Vlečna kljuka.,2017,120537 km,diesel motor,ročni menjalnik,"1496 ccm, 85 kW / 116 KM",8.490 €,https://www.avto.net/Ads/details.asp?id=22578060,https://images.avto.net/photo/22578060/1049235_160.jpg
22577828,Ford Kuga 2.0 TDCI 103kW DPF 4x4-SLO-ALU-PDC-VELIKI SERVIS,2010,185000 km,diesel motor,ročni menjalnik,"1997 ccm, 103 kW / 140 KM",6.990 €,https://www.avto.net/Ads/details.asp?id=22577828,https://images.avto.net/photo/22577828/1046329_160.jpg
22577761,Ford Kuga 2.0 DIZEL-4X4-2.LASTNIK-SLO-SERVISNA-USNJE-ODLIČNA,2017,145000 km,diesel motor,ročni menjalnik,"1997 ccm, 110 kW / 150 KM",9.900 €,https://www.avto.net/Ads/details.asp?id=22577761,https://images.avto.net/photo/22577761/1045577_160.jpg
22577729,BMW serija 2 Active Tourer: 214d Advantage FULLED•TEMP•KEYLESS•KAMERA•2X-PDC•,2016,109679 km,diesel motor,ročni menjalnik,"1496 ccm, 70 kW / 95 KM",8.799 €,https://www.avto.net/Ads/details.asp?id=22577729,https://images.avto.net/photo/22577729/1044874_160.jpg
22577687,Volkswagen Golf 1.6TDI-COMFORTLINE-LED-VELIK-SERVIS-PDC-198.000KM-,2019,198000 km,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",9.850 €,https://www.avto.net/Ads/details.asp?id=22577687,https://images.avto.net/photo/22577687/1045017_160.jpg
22576609,Opel Crossland X 1.5 CDTI 75KW S S ENJOY - prvi lastnik,2019,171010 km,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",7.490 €,https://www.avto.net/Ads/details.asp?id=22576609,https://images.avto.net/photo/22576609/1043628_160.jpg
22576551,Fiat Panda 1.3 MULTIJET - 4X4 - VELIK SERVIS - ALU...,2014,142000 km,diesel motor,ročni menjalnik,"1248 ccm, 55 kW / 75 KM",7.490 €,https://www.avto.net/Ads/details.asp?id=22576551,https://images.avto.net/photo/22576551/1043005_160.jpg
22576544,Volkswagen Golf Plus Comfortline 2.0 TDI DSG,2011,177921 km,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",5.690 €,https://www.avto.net/Ads/details.asp?id=22576544,https://images.avto.net/photo/22576544/1043524_160.jpg
22575510,Mitsubishi Outlander 4WD 2.2 DI-D Intense,2015,165000 km,diesel motor,ročni menjalnik,"2268 ccm, 110 kW / 150 KM",7.499 €,https://www.avto.net/Ads/details.asp?id=22575510,https://images.avto.net/photo/22575510/1042636_160.jpg
22575387,Audi A3 Sportback 1.6 TDI clean diesel Attraction,2015,175000 km,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",8.990 €,https://www.avto.net/Ads/details.asp?id=22575387,https://images.avto.net/photo/22575387/1042208_160.jpg
22575258,Dodge Nitro SXT 2.8 16V CRD AVT SLO NAVI DAB RADIO BREZ POLOGA,2008,190000 km,diesel motor,avtomatski menjalnik,"2777 ccm, 130 kW / 177 KM",8.990 €,https://www.avto.net/Ads/details.asp?id=22575258,https://images.avto.net/photo/22575258/1040957_160.jpg
22575183,Microcar M.GO 3 HIGHLAND DCI,2016,41990 km,diesel motor,avtomatski menjalnik,"492 ccm, 4 kW / 5 KM",5.199 €,https://www.avto.net/Ads/details.asp?id=22575183,https://images.avto.net/photo/22575183/1040400_160.jpg
22575047,Mercedes-Benz Citan Kombi 109 CDI BlueEFFICIENCY,2014,185000 km,diesel motor,ročni menjalnik,"1461 ccm, 66 kW / 90 KM",7.950 €,https://www.avto.net/Ads/details.asp?id=22575047,https://images.avto.net/photo/22575047/1039685_160.jpg
22574954,Opel Corsa 1.3 CDTI Enjoy Easy -PDC-TEMPOMAT -37-...,2017,64500 km,diesel motor,ročni menjalnik,"1248 ccm, 70 kW / 95 KM",7.490 €,https://www.avto.net/Ads/details.asp?id=22574954,https://images.avto.net/photo/22574954/1037823_160.jpg
22574938,BMW serija 1: 118d|M-SPORT|LED|NAVI|BREZ POLOGA|SERVISNA,2013,175200 km,diesel motor,ročni menjalnik,"1995 ccm, 105 kW / 143 KM",9.950 €,https://www.avto.net/Ads/details.asp?id=22574938,https://images.avto.net/photo/22574938/1037647_160.jpg
22574923,Ford Mondeo 1.6 TDCi-NAVI-ALU-KLIMA-LEANPAY DO 84 OBROKOV,2015,192000 km,diesel motor,ročni menjalnik,"1560 ccm, 85 kW / 116 KM",6.990 €,https://www.avto.net/Ads/details.asp?id=22574923,https://images.avto.net/photo/22574923/1037772_160.jpg
22574849,Citroën C4 Picasso BlueHDi 120 S S Live Avt.-LED-TEMPOMAT-BREZ POLOGA,2017,178000 km,diesel motor,avtomatski menjalnik,"1560 ccm, 88 kW / 120 KM",8.450 €,https://www.avto.net/Ads/details.asp?id=22574849,https://images.avto.net/photo/22574849/1036734_160.jpg
22574846,Opel Insignia 1.6 CDTi...AVTOMATIK...ODLIČNA,2020,193000 km,diesel motor,avtomatski menjalnik,"1598 ccm, 100 kW / 136 KM",7.800 €,https://www.avto.net/Ads/details.asp?id=22574846,https://images.avto.net/photo/22574846/1036869_160.jpg
