id,title,year,km,fuel,transmission,engine,price,on_sale,url,photo_url,scraped_at
21344466,Citroën Berlingo Shine BlueHDi 100PS SLO 1.LASTNIK LED 12M-JAMSTVO,2016,144000,diesel motor,ročni menjalnik,"1560 ccm, 73 kW / 99 KM",,False,https://www.avto.net/Ads/details.asp?id=21344466,,2026-06-24T09:36:08
22512908,Citroën Berlingo 1.6 HDI SHINE|SLO|VELIK SER.|NA OBROKE v 5 MIN.,2015,155000,diesel motor,ročni menjalnik,"1560 ccm, 68 kW / 92 KM",,False,https://www.avto.net/Ads/details.asp?id=22512908,,2026-06-24T09:36:08
22580762,Renault Megane LIMITED EDITION-NAVI-LEANPAY DO 84 OBROKOV,2016,199013,diesel motor,ročni menjalnik,"1461 ccm, 81 kW / 110 KM",5990,False,https://www.avto.net/Ads/details.asp?id=22580762,,2026-06-24T09:36:08
22580684,Peugeot 308 SW 1.5 BlueHDi 100 S S Active Pack,2020,144000,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",9800,False,https://www.avto.net/Ads/details.asp?id=22580684,https://images.avto.net/photo/22580684/1033827_160.jpg,2026-06-24T09:36:08
22580648,Renault Megane Cabriolet 1.5 DCi Dynamique,2011,148017,diesel motor,ročni menjalnik,"1461 ccm, 81 kW / 110 KM",5250,False,https://www.avto.net/Ads/details.asp?id=22580648,https://images.avto.net/photo/22580648/1033298_160.jpg,2026-06-24T09:36:08
22580585,Dacia Sandero 1.5 dCi 90 STEPWAY.1LAST.SLO.NA OBROKE-LEANPAY,2017,104700,diesel motor,ročni menjalnik,"1461 ccm, 66 kW / 90 KM",8499,False,https://www.avto.net/Ads/details.asp?id=22580585,https://images.avto.net/photo/22580585/1032814_160.jpg,2026-06-24T09:36:08
22580554,Opel Astra 1.6 CDTI Enjoy NAVI-PDC-ALU17-KEYLESS-SLO-LED,2018,115596,diesel motor,ročni menjalnik,"1598 ccm, 100 kW / 136 KM",9199,False,https://www.avto.net/Ads/details.asp?id=22580554,https://images.avto.net/photo/22580554/1032604_160.jpg,2026-06-24T09:36:08
22580550,Seat Leon ST 1.6 TDI FR Start Stop DSG|FulLED|kljuka|PDC|nav,2015,189900,diesel motor,avtomatski menjalnik,"1598 ccm, 77 kW / 105 KM",7880,False,https://www.avto.net/Ads/details.asp?id=22580550,https://images.avto.net/photo/22580550/1032232_160.jpg,2026-06-24T09:36:08
22580368,Mercedes-Benz B-Razred B 180 CDI-NAVI-MEGLENKE-2X PDC-150.000KM,2013,150000,diesel motor,ročni menjalnik,"1461 ccm, 80 kW / 109 KM",6990,False,https://www.avto.net/Ads/details.asp?id=22580368,https://images.avto.net/photo/22580368/1029652_160.jpg,2026-06-24T09:36:08
22580330,Renault Grand Scenic Blue dCi XENON-LED.NAVI.PRIKLOP.SLOVENSKI,2019,151815,diesel motor,ročni menjalnik,"1749 ccm, 88 kW / 120 KM",9999,False,https://www.avto.net/Ads/details.asp?id=22580330,https://images.avto.net/photo/22580330/1028916_160.jpg,2026-06-24T09:36:08
22527085,Citroën C4 Grand Picasso 1.6 BlueHDi Intensive°SLO.1.LASTNIK°SAMO 127.000KM,2016,127000,diesel motor,ročni menjalnik,"1560 ccm, 88 kW / 120 KM",8990,False,https://www.avto.net/Ads/details.asp?id=22527085,https://images.avto.net/photo/22527085/1057668_160.jpg,2026-06-24T09:36:08
22522778,Peugeot Partner Tepee 1.6 HDi-LEANPAY-SLO POREKLO-KLIMA-VL.KLJUKA,2012,177900,diesel motor,ročni menjalnik,"1560 ccm, 68 kW / 92 KM",5990,False,https://www.avto.net/Ads/details.asp?id=22522778,https://images.avto.net/photo/22522778/1070021_160.jpg,2026-06-24T09:36:08
