id,title,year,km,fuel,transmission,engine,price,on_sale,url,photo_url,scraped_at,age_category,first_registration,production_year,tech_inspection,engine_detail,fuel_detail,transmission_detail,body_shape,doors,color,interior,vin,location,consumption_combined,consumption_highway,consumption_city,emission_class,co2_emissions,internal_number,stock_status,seller_name,photo_url_hd
22578231,Peugeot 208 1.2 PureTech LED LUČI.TEMPOM.SLOVENSKI.BREZ POLOGA,2021,51180,bencinski motor,ročni menjalnik,"1199 ccm, 75 kW / 102 KM",,False,https://www.avto.net/Ads/details.asp?id=22578231,,2026-06-24T11:06:42,rabljeno / ima jamstvo,"2021
				 / 3",2021,,"75 kW
             (102 KM),  1199  ccm",bencinski motor,ročni menjalnik (6 pr.),kombilimuzina / hatchback,5,bela metalik,črna / blago,,",",,,,,,,,,https://images.avto.net/photo/22578231/1050687.jpg
22228184,Peugeot 208 1.2  ACTIVE-SLO°1.LAST.°AVT°KLIMA°81.000KM°LEANPAY,2018,81000,bencinski motor,ročni menjalnik,"1199 ccm, 61 kW / 83 KM",,False,https://www.avto.net/Ads/details.asp?id=22228184,,2026-06-24T11:06:42,rabljeno,"2018
				 / 10",2018,,"61 kW
             (83 KM),  1199  ccm",bencinski motor,ročni menjalnik (5 pr.),kombilimuzina / hatchback,5,črna metalik,črna / blago,VF3CCHMRPJT072715,",",,,,,,,,,https://images.avto.net/photo/22228184/1051703.jpg
21344466,Citroën Berlingo Shine BlueHDi 100PS SLO 1.LASTNIK LED 12M-JAMSTVO,2016,144000,diesel motor,ročni menjalnik,"1560 ccm, 73 kW / 99 KM",,False,https://www.avto.net/Ads/details.asp?id=21344466,,2026-06-24T11:06:42,rabljeno / ima garancijo / ima jamstvo,"2016
				 / 10",2016,,"73 kW
             (99 KM),  1560  ccm",diesel motor,ročni menjalnik (5 pr.),enoprostorec / van,5,modra metalik,temno siva / blago,VF77JBHY6GJ801974,",",,,,,,,,,https://images.avto.net/photo/21344466/1023618.jpg
22466354,Citroën C3 1.2 PureTech 83 Feel Pack,2021,81000,bencinski motor,ročni menjalnik,"1199 ccm, 61 kW / 83 KM",,False,https://www.avto.net/Ads/details.asp?id=22466354,,2026-06-24T11:06:42,rabljeno,"2021
				 / 5",2021,,"61 kW
             (83 KM),  1199  ccm",bencinski motor,ročni menjalnik (5 pr.),kombilimuzina / hatchback,5,bela,temno siva / blago,,"1296 Šentvid pri Stični, Slovenija",,,,,,,,,https://images.avto.net/photo/22466354/1077226.jpg
22559001,Hyundai i10 1.2°LIFE PLUS°1.LASTNICA°SLO°LANE ASS°SAMO 48000..,2022,48652,bencinski motor,ročni menjalnik,"1197 ccm, 62 kW / 84 KM",,False,https://www.avto.net/Ads/details.asp?id=22559001,,2026-06-24T11:06:42,rabljeno,"2022
				 / 1",2022,,"62 kW
             (84 KM),  1197  ccm",bencinski motor,ročni menjalnik (5 pr.),kombilimuzina / hatchback,5,srebrna,temno siva / blago,,",",,,,,,,,,https://images.avto.net/photo/22559001/1060585.jpg
22538891,Fiat 500C 1.2 8V Lounge-CABRIO-AVTOMATIK-1.LASTNIK-USNJE,2015,131000,bencinski motor,avtomatski menjalnik,"1242 ccm, 51 kW / 69 KM",,False,https://www.avto.net/Ads/details.asp?id=22538891,,2026-06-24T11:06:42,rabljeno,"2015
				 / 12",2015,,"51 kW
             (69 KM),  1242  ccm",bencinski motor,avtomatski menjalnik,cabriolet,2,siva metalik,črna / usnje,ZFA3120000J506232,",",,,,,,,,,https://images.avto.net/photo/22538891/1065348.jpg
22581260,MINI Countryman MINI Cooper S ALL4.  LE   150.000km,2011,150000,bencinski motor,ročni menjalnik,"1598 ccm, 140 kW / 190 KM",9990,False,https://www.avto.net/Ads/details.asp?id=22581260,https://images.avto.net/photo/22581260/1039906_160.jpg,2026-06-24T11:06:42,rabljeno / ima garancijo,"2011
				 / 6",,,"140 kW
             (190 KM),  1598  ccm",bencinski motor,ročni menjalnik (6 pr.),kombilimuzina / hatchback,5,,/,,",",,,,,,,,,https://images.avto.net/photo/22581260/1039906.jpg
22581224,Peugeot 208 1.2 PURETECH 75 ACTIVE-LE56.046KM-NAVI-JAMSTVO12M,2022,56047,bencinski motor,ročni menjalnik,"1199 ccm, 55 kW / 75 KM",8990,False,https://www.avto.net/Ads/details.asp?id=22581224,https://images.avto.net/photo/22581224/1039276_160.jpg,2026-06-24T11:06:42,rabljeno / ima jamstvo,"2022
				 / 8",2022,,"55 kW
             (75 KM),  1199  ccm",bencinski motor,ročni menjalnik (5 pr.),kombilimuzina / hatchback,5,bela,temno siva / blago,,",",,,,,,,,,https://images.avto.net/photo/22581224/1039276.jpg
22581210,Škoda Fabia Combi 1.0 SLO SAMO 96500KM KLJUKA,2019,96500,bencinski motor,ročni menjalnik,"999 ccm, 70 kW / 95 KM",7999,False,https://www.avto.net/Ads/details.asp?id=22581210,https://images.avto.net/photo/22581210/1039416_160.jpg,2026-06-24T11:06:42,rabljeno,"2019
				 / 4",2019,,"70 kW
             (95 KM),  999  ccm",bencinski motor,ročni menjalnik (5 pr.),karavan,5,bela,/ blago,,",",,,,,,,,,https://images.avto.net/photo/22581210/1039416.jpg
22581176,Volkswagen Golf Sportsvan 1.2 TSI BMT Comfortline DSG,2014,111000,bencinski motor,avtomatski menjalnik,"1197 ccm, 81 kW / 110 KM",9990,False,https://www.avto.net/Ads/details.asp?id=22581176,https://images.avto.net/photo/22581176/1038898_160.jpg,2026-06-24T11:06:42,rabljeno / ima jamstvo,"2014
				 / 10",2014,,"81 kW
             (110 KM),  1197  ccm",bencinski motor,avtomatski menjalnik,enoprostorec / van,5,bela,temno siva / blago,WVWZZZAUZFW535357,",",,,,,,,,,https://images.avto.net/photo/22581176/1038898.jpg
